pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14048,1.14066,WIN,0.01578,2026-04-01 12:45:50,level_touch,70.8,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.459,185.442,LOSS,-0.00917,2026-04-01 12:47:30,ema_bounce,60.0,BULL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075156,0.0075156,DRAW,0.0,2026-04-01 12:47:30,level_touch,62.2,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,114.419,114.436,WIN,0.01486,2026-04-01 12:47:30,level_touch,61.9,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.681,200.763,WIN,0.04086,2026-04-01 12:48:20,level_touch,60.3,BULL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.38219,1.38269,WIN,0.03617,2026-04-01 12:50:00,level_touch,61.6,BULL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.52753,0.5274,LOSS,-0.02464,2026-04-01 12:50:00,level_touch,64.7,BULL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.007516,0.0075135,LOSS,-0.03326,2026-04-01 12:50:50,level_touch,60.3,BULL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78803,0.78762,LOSS,-0.05203,2026-04-01 12:50:50,ema_bounce,86,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.758,200.643,LOSS,-0.05728,2026-04-01 12:51:40,level_touch,65.7,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30008,18.30086,WIN,0.00426,2026-04-01 12:52:30,level_touch,61.6,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.504,185.48,LOSS,-0.01294,2026-04-01 12:53:20,level_breakout,55.9,BULL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78763,0.78721,LOSS,-0.05332,2026-04-01 12:54:10,ema_bounce,69.9,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.95887,1.95864,LOSS,-0.01174,2026-04-01 12:55:00,level_touch,68.1,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86826,0.86812,LOSS,-0.01612,2026-04-01 12:55:00,ema_bounce,67.8,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.705,200.685,LOSS,-0.00996,2026-04-01 12:55:00,level_touch,65.3,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14106,1.14069,LOSS,-0.03243,2026-04-01 12:55:50,ema_bounce,88,BULL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.58612,0.58713,WIN,0.17232,2026-04-01 12:55:50,level_touch,61.9,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.502,185.521,WIN,0.01024,2026-04-01 12:56:40,level_breakout,57.7,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.3047,18.30489,WIN,0.00104,2026-04-01 12:57:30,level_touch,63.1,BULL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.52651,0.52823,WIN,0.32668,2026-04-01 12:57:30,level_touch,66.6,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.95762,1.95795,WIN,0.01686,2026-04-01 12:58:20,level_touch,64.7,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34583,1.34486,LOSS,-0.07207,2026-04-01 12:58:20,level_touch,62.7,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86768,0.86734,LOSS,-0.03918,2026-04-01 12:58:20,level_touch,62.7,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.844,200.802,LOSS,-0.02091,2026-04-01 12:58:20,level_touch,68.1,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14014,1.14014,DRAW,0.0,2026-04-01 12:59:10,level_touch,64.7,BULL
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.9558,0.95581,LOSS,-0.00105,2026-04-01 13:00:50,ema_bounce,64.7,BEAR
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84334,0.8431,WIN,0.02846,2026-04-01 13:00:50,level_touch,64.7,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0074999,0.0074952,WIN,0.06267,2026-04-01 13:02:30,ema_bounce,71.7,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95658,1.95655,WIN,0.00153,2026-04-01 13:02:30,ema_bounce,58.7,BEAR
