pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,112.054,112.059,WIN,0.00446,2026-03-26 08:39:43,ema_bounce,57.0
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.53482,0.53553,LOSS,-0.13275,2026-03-26 08:39:43,ema_bounce,70.8
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.98582,0.98538,LOSS,-0.04463,2026-03-26 08:41:23,level_breakout,55.2
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42509,18.42497,WIN,0.00065,2026-03-26 08:41:23,ema_bounce,60.7
CAD/JPY OTC,#CADJPY_otc,BUY,1m,121.397,121.408,WIN,0.00906,2026-03-26 08:41:23,ema_bounce,83
KES/USD OTC,#KESUSD_otc,BUY,1m,0.006914,0.006981,WIN,0.96905,2026-03-26 08:41:23,level_breakout,57.1
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.91653,1.91624,WIN,0.01513,2026-03-26 08:42:13,ema_bounce,67.6
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.857,186.914,LOSS,-0.0305,2026-03-26 08:43:03,ema_bounce,76
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60509,0.60663,WIN,0.25451,2026-03-26 08:43:03,level_breakout,56.7
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60775,0.6083,LOSS,-0.0905,2026-03-26 08:43:03,level_breakout,56.1
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.093,100.129,WIN,0.03597,2026-03-26 08:43:03,level_breakout,57.7
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.91184,0.9117,LOSS,-0.01535,2026-03-26 08:43:53,ema_bounce,88
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,112.062,111.993,LOSS,-0.06157,2026-03-26 08:43:53,ema_bounce,86
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.17895,1.17863,LOSS,-0.02714,2026-03-26 08:44:43,ema_bounce,63.2
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.41091,1.41125,WIN,0.0241,2026-03-26 08:45:33,ema_bounce,81
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86806,0.86802,LOSS,-0.00461,2026-03-26 08:45:33,level_breakout,58.4
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,209.512,209.514,LOSS,-0.00095,2026-03-26 08:45:33,level_bounce,75
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.4252,18.42563,WIN,0.00233,2026-03-26 08:46:23,level_bounce,55.4
CAD/JPY OTC,#CADJPY_otc,BUY,1m,121.429,121.43,WIN,0.00082,2026-03-26 08:46:23,ema_bounce,72.6
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.98704,0.98731,WIN,0.02735,2026-03-26 08:47:13,ema_bounce,76
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.91182,0.91202,WIN,0.02193,2026-03-26 08:47:13,ema_bounce,60.0
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35457,1.35557,LOSS,-0.07382,2026-03-26 08:47:13,ema_bounce,57.5
USD/JPY OTC,#USDJPY_otc,BUY,1m,156.857,156.899,WIN,0.02678,2026-03-26 08:47:13,level_bounce,60.6
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60749,0.60713,WIN,0.05926,2026-03-26 08:47:13,level_breakout,64.7
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.399,100.488,WIN,0.08865,2026-03-26 08:47:13,level_breakout,57.7
