id,outcome_id,timestamp_signal,pair,symbol,direction,expiry,entry_price,pattern_winner,final_score,raw_pattern_score,direction_gap,regime,countertrend,n_bars_15s,n_bars_1m,n_bars_5m,score_gap,filter_penalty,nearest_support,dist_to_support_pct,nearest_resistance,dist_to_resistance_pct,level_count_sup,level_count_res,impulse_len,pullback_len,retracement_pct,confirm_ratio,lr_level_price,lr_touches,lr_fresh,lr_wick_ratio,lr_room_pct,fb_level_price,fb_side,fb_reclaim_type,fb_bars_ago,no_room_decision,opposite_level_class,dead_market,exhaustion,noisy,range_penalty,close_price,result,pnl_pct,resolved_at,source
951,,2026-03-25T18:08:45.954420,EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.614,ema_bounce,,,,RANGE,0,,,,,,184.561,0.0287,184.952889,0.1836,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,184.636,LOSS,-0.01192,2026-03-25T18:10:25.834761,paper
950,,2026-03-25T18:08:45.960849,AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.55225,ema_bounce,,,,RANGE,0,,,,,,0.551083,0.2113,0.55313,0.1593,3,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.55217,WIN,0.01449,2026-03-25T18:10:25.837158,paper
949,,2026-03-25T18:08:45.959732,NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60048,ema_bounce,,,,TRENDING_UP,0,,,,,,0.599213,0.211,0.60073,0.0416,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.60059,WIN,0.01832,2026-03-25T18:10:25.836291,paper
948,,2026-03-25T18:07:56.012135,AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.81014,ema_bounce,,,,TRENDING_DOWN,0,,,,,,1.8087,0.0796,1.815561,0.2995,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.80817,WIN,0.10883,2026-03-25T18:09:35.825531,paper
947,,2026-03-25T18:07:56.015484,AUD/JPY OTC,#AUDJPY_otc,BUY,1m,110.658,ema_bounce,,,,RANGE,0,,,,,,110.581364,0.0693,110.729105,0.0643,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,110.788,WIN,0.11748,2026-03-25T18:09:35.826633,paper
946,,2026-03-25T18:07:56.012924,EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.93198,ema_bounce,,,,TRENDING_DOWN,0,,,,,,0.928487,0.3748,0.933855,0.2012,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.93299,LOSS,-0.10837,2026-03-25T18:09:35.825765,paper
945,,2026-03-25T18:07:05.912739,NZD/JPY OTC,#NZDJPY_otc,SELL,1m,98.694,ema_bounce,,,,RANGE,0,,,,,,98.641,0.0537,99.007148,0.3173,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,98.66,WIN,0.03445,2026-03-25T18:08:45.954117,paper
944,,2026-03-25T18:07:05.908284,EUR/USD OTC,#EURUSD_otc,SELL,1m,1.13848,ema_bounce,,,,TRENDING_DOWN,0,,,,,,1.136889,0.1397,1.13908,0.0527,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.13847,WIN,0.00088,2026-03-25T18:08:45.953851,paper
943,,2026-03-25T18:05:25.923882,NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.59991,ema_bounce,,,,RANGE,0,,,,,,0.599167,0.1239,0.60008,0.0284,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.6003,WIN,0.06501,2026-03-25T18:07:05.907868,paper
942,,2026-03-25T18:05:25.921968,CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.57277,ema_bounce,,,,RANGE,0,,,,,,0.570452,0.4047,0.575004,0.39,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.57267,WIN,0.01746,2026-03-25T18:07:05.907555,paper
